,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
"Maintenance and repair workers, general",462,5,18,76,103,141,87,30,47.9
"Maintenance workers, machinery",40,1,7,6,8,12,4,3,–
Millwrights,66,1,4,11,12,20,15,2,47.6
Electrical power-line installers and repairers,117,0,15,33,24,28,13,2,38.9
Telecommunications line installers and repairers,183,0,13,46,58,43,18,5,40.9
Precision instrument and equipment repairers,76,0,3,19,14,19,16,5,46.1
Wind turbine service technicians,3,0,1,1,0,1,0,0,–
"Coin, vending, and amusement machine servicers and repairers",40,1,4,5,8,12,8,2,–
Commercial divers,2,0,0,0,1,0,0,0,–
Locksmiths and safe repairers,29,0,4,2,2,10,9,3,–
Manufactured building and mobile home installers,8,0,1,1,4,1,1,0,–
Riggers,13,0,2,1,4,5,1,0,–
Signal and track switch repairers,6,0,0,2,1,1,1,0,–
"Helpers--installation, maintenance, and repair workers",22,2,5,5,2,4,3,1,–
"Other installation, maintenance, and repair workers",215,2,17,49,41,54,40,13,44.2
,,,,,,,,,
"Production, transportation, and material moving occupations","16,984",441,"1,664","3,442","3,551","4,119","2,955",812,43.1
Production occupations,"8,275",144,767,"1,745","1,783","2,059","1,475",302,43.0
First-line supervisors of production and operating workers,731,1,17,124,171,235,154,29,47.2
"Aircraft structure, surfaces, rigging, and systems assemblers",14,0,1,4,4,2,2,1,–
"Electrical, electronics, and electromechanical assemblers",141,1,12,23,26,44,28,7,45.5
Engine and other machine assemblers,20,0,2,5,4,5,3,1,–
Structural metal fabricators and fitters,23,0,0,4,6,9,4,0,–
Miscellaneous assemblers and fabricators,"1,013",21,120,214,235,230,156,36,41.6
Bakers,207,9,34,47,30,44,34,9,39.1
"Butchers and other meat, poultry, and fish processing workers",323,11,45,80,74,66,37,10,38.4
"Food and tobacco roasting, baking, and drying machine operators and tenders",10,1,1,2,3,2,1,1,–
Food batchmakers,93,8,11,20,17,18,16,4,38.6
Food cooking machine operators and tenders,9,1,1,1,4,1,1,0,–
"Food processing workers, all other",123,1,17,29,27,27,20,2,40.7
Computer control programmers and operators,85,1,5,23,24,17,14,1,41.3
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,0,0,4,4,3,2,0,–
"Forging machine setters, operators, and tenders, metal and plastic",8,0,0,0,1,3,4,0,–
"Rolling machine setters, operators, and tenders, metal and plastic",4,0,0,0,1,2,1,0,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",76,3,8,18,18,20,9,1,41.5
"Drilling and boring machine tool setters, operators, and tenders, metal 	and plastic",1,0,0,0,0,0,1,0,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",57,0,5,12,12,12,12,4,44.9
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",11,0,1,1,1,4,2,1,–
"Milling and planing machine setters, operators, and tenders, metal and plastic",5,0,0,2,2,1,0,0,–
Machinists,398,5,25,75,79,102,92,20,46.2
"Metal furnace operators, tenders, pourers, and casters",24,0,2,4,7,4,5,1,–
"Model makers and patternmakers, metal and plastic",7,0,0,1,1,2,0,2,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",50,1,6,10,11,14,8,1,43.6
"Multiple machine tool setters, operators, and tenders, metal and plastic",4,0,0,0,2,1,2,0,–
Tool and die makers,53,0,1,5,9,18,17,2,51.1
"Welding, soldering, and brazing workers",575,8,67,162,132,122,72,13,39.2
"Heat treating equipment setters, operators, and tenders, metal and plastic",9,1,2,4,1,1,1,0,–
"Layout workers, metal and plastic",5,0,0,0,2,1,1,0,–
"Plating and coating machine setters, operators, and tenders, metal and plastic",18,0,2,5,5,4,1,1,–
"Tool grinders, filers, and sharpeners",5,0,0,1,2,1,1,0,–
"Metal workers and plastic workers, all other",338,5,31,63,86,85,61,8,43.2
Prepress technicians and workers,29,1,0,5,7,11,3,2,–
Printing press operators,193,1,13,44,33,61,35,7,46.2
Print binding and finishing workers,26,0,3,4,2,8,7,2,–
Laundry and dry-cleaning workers,167,7,16,31,34,37,32,9,43.2
"Pressers, textile, garment, and related materials",55,1,0,15,10,16,9,4,45.7
Sewing machine operators,158,0,16,21,26,47,41,6,48.0
Shoe and leather workers and repairers,15,0,0,4,2,4,2,4,–
Shoe machine operators and tenders,2,0,0,0,0,1,1,0,–
"Tailors, dressmakers, and sewers",84,0,5,7,15,23,23,10,52.5
Textile bleaching and dyeing machine operators and tenders,2,0,0,1,0,1,0,0,–
"Textile cutting machine setters, operators, and tenders",6,0,0,1,2,2,0,1,–
"Textile knitting and weaving machine setters, operators, and tenders",6,0,1,1,1,2,1,0,–
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",16,0,0,2,9,2,2,1,–
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",1,0,0,0,0,0,1,0,–
Fabric and apparel patternmakers,1,0,0,0,0,0,1,0,–
Upholsterers,35,1,0,3,5,17,8,1,–
"Textile, apparel, and furnishings workers, all other",14,1,0,3,3,2,3,2,–
Cabinetmakers and bench carpenters,47,2,4,7,8,14,11,1,–
Furniture finishers,7,0,1,1,1,2,2,0,–
"Model makers and patternmakers, wood",0,0,0,0,0,0,0,0,–
"Sawing machine setters, operators, and tenders, wood",33,2,3,8,4,7,8,1,–
"Woodworking machine setters, operators, and tenders, except sawing",19,1,3,3,4,5,3,0,–
"Woodworkers, all other",19,0,1,3,2,8,3,2,–
"Power plant operators, distributors, and dispatchers",45,0,1,6,15,13,7,2,–
Stationary engineers and boiler operators,91,0,1,19,19,23,23,5,48.6
Water and wastewater treatment plant and system operators,68,0,4,8,11,26,16,2,49.8
Miscellaneous plant and system operators,37,0,2,7,8,11,10,1,–
"Chemical processing machine setters, operators, and tenders",54,2,3,9,9,23,6,1,44.5
"Crushing, grinding, polishing, mixing, and blending workers",87,2,10,19,21,20,13,3,41.4
Cutting workers,59,2,6,17,11,12,11,2,40.8
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",26,0,3,3,6,7,7,0,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",15,0,1,2,6,5,1,0,–
"Inspectors, testers, sorters, samplers, and weighers",686,8,58,153,144,152,151,22,43.8
Jewelers and precious stone and metal workers,54,0,2,8,13,11,10,10,48.6
"Medical, dental, and ophthalmic laboratory technicians",85,0,8,17,20,17,21,3,43.6
Packaging and filling machine operators and tenders,304,6,37,73,66,78,35,10,39.9
Painting workers,147,1,16,38,24,35,26,5,41.4
Photographic process workers and processing machine operators,43,4,13,8,7,6,4,0,–
Semiconductor processors,2,0,0,0,0,1,1,0,–
Adhesive bonding machine operators and tenders,12,0,2,1,4,4,1,0,–
"Cleaning, washing, and metal pickling equipment operators and tenders",4,0,1,2,0,0,1,0,–
Cooling and freezing equipment operators and tenders,3,0,0,0,2,0,1,0,–
Etchers and engravers,7,0,1,1,1,3,1,0,–
"Molders, shapers, and casters, except metal and plastic",41,0,8,7,9,11,4,1,–
"Paper goods machine setters, operators, and tenders",24,0,2,6,8,3,5,0,–
Tire builders,21,1,5,3,6,2,3,1,–
Helpers--production workers,39,6,7,8,6,4,7,1,–
"Production workers, all other",933,17,93,222,197,224,154,25,41.6
Transportation and material moving occupations,"8,709",297,897,"1,697","1,768","2,060","1,479",510,43.1
Supervisors of transportation and material moving workers,194,1,13,42,50,52,34,2,42.5
Aircraft pilots and flight engineers,135,0,2,21,34,41,32,4,47.3
Air traffic controllers and airfield operations specialists,40,0,0,14,6,15,3,2,–
Flight attendants,89,0,1,10,18,30,24,5,49.4
"Ambulance drivers and attendants, except emergency medical technicians",17,1,4,4,1,2,3,2,–
Bus drivers,582,1,21,53,99,161,158,90,52.7
Driver/sales workers and truck drivers,"3,252",39,199,545,741,903,622,203,46.0
Taxi drivers and chauffeurs,338,2,9,55,60,96,72,43,49.2
"Motor vehicle operators, all other",74,4,7,6,7,8,10,33,59.3
Locomotive engineers and operators,58,0,2,7,19,16,13,0,46.0
"Railroad brake, signal, and switch operators",10,0,1,1,4,2,2,0,–
Railroad conductors and yardmasters,50,0,2,16,18,8,5,1,39.0
"Subway, streetcar, and other rail transportation workers",9,0,0,3,2,1,2,0,–
Sailors and marine oilers,30,2,2,10,6,6,5,1,–
Ship and boat captains and operators,40,0,3,9,8,10,7,3,–
Ship engineers,4,0,0,0,3,1,0,0,–
Bridge and lock tenders,5,0,0,0,1,2,3,0,–
Parking lot attendants,88,5,35,18,6,11,7,6,28.3
Automotive and watercraft service attendants,92,13,29,19,12,9,7,3,27.3
Transportation inspectors,45,0,4,9,3,13,12,3,–
"Transportation attendants, except flight attendants",37,1,2,6,7,9,8,4,–
Other transportation workers,21,1,5,1,3,7,4,0,–
Conveyor operators and tenders,5,0,1,1,1,2,0,0,–
Crane and tower operators,72,0,8,10,20,14,18,2,45.1
"Dredge, excavating, and loading machine operators",40,1,1,9,6,9,8,5,–
Hoist and winch operators,7,0,0,3,1,2,0,0,–
Industrial truck and tractor operators,557,7,54,163,118,128,77,10,40.0
Cleaners of vehicles and equipment,348,43,78,87,56,49,28,8,31.1
"Laborers and freight, stock, and material movers, hand","1,752",123,315,420,335,303,208,49,35.8
Machine feeders and offbearers,21,1,1,5,5,5,4,0,–
"Packers and packagers, hand",493,48,81,96,82,98,68,20,38.1
Pumping station operators,30,0,3,10,4,6,6,2,–
Refuse and recyclable material collectors,108,2,10,32,20,24,15,6,41.1
Mine shuttle car operators,4,0,0,1,1,1,0,0,–
"Tank car, truck, and ship loaders",7,0,0,4,1,2,1,0,–
"Material moving workers, all other",51,3,4,8,9,12,12,2,46.1
