,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
"Maintenance and repair workers, general",471,5,26,83,77,143,117,20,48.3
"Maintenance workers, machinery",37,1,4,2,8,9,7,4,–
Millwrights,48,0,2,8,9,11,13,4,–
Electrical power-line installers and repairers,115,1,6,41,28,25,11,3,40.4
Telecommunications line installers and repairers,184,2,13,55,56,37,20,1,38.9
Precision instrument and equipment repairers,85,0,3,16,21,20,18,7,45.6
Wind turbine service technicians,4,0,1,0,0,2,0,0,–
"Coin, vending, and amusement machine servicers and repairers",43,0,4,5,10,7,14,3,–
Commercial divers,3,0,0,0,2,1,0,0,–
Locksmiths and safe repairers,30,1,0,6,4,6,10,3,–
Manufactured building and mobile home installers,4,0,1,0,1,1,1,0,–
Riggers,13,0,2,5,3,2,1,0,–
Signal and track switch repairers,7,0,0,3,2,0,0,0,–
"Helpers--installation, maintenance, and repair workers",14,1,5,2,3,2,0,0,–
"Other installation, maintenance, and repair workers",224,4,20,46,44,60,41,9,44.5
,,,,,,,,,
"Production, transportation, and material moving occupations","17,448",490,"1,657","3,505","3,667","4,192","3,095",842,43.1
Production occupations,"8,438",152,780,"1,806","1,826","2,043","1,513",319,42.9
First-line supervisors of production and operating workers,789,4,24,146,194,241,158,22,45.8
"Aircraft structure, surfaces, rigging, and systems assemblers",15,0,2,1,1,4,5,2,–
"Electrical, electronics, and electromechanical assemblers",164,4,10,31,34,48,30,7,44.1
Engine and other machine assemblers,10,0,0,3,1,2,3,0,–
Structural metal fabricators and fitters,24,0,3,6,7,5,3,0,–
Miscellaneous assemblers and fabricators,"1,002",24,123,238,204,204,176,33,40.8
Bakers,224,8,36,58,32,52,27,11,37.4
"Butchers and other meat, poultry, and fish processing workers",331,10,50,89,61,69,42,11,38.4
"Food and tobacco roasting, baking, and drying machine operators and tenders",10,0,2,2,3,2,1,0,–
Food batchmakers,95,3,18,19,20,22,11,3,38.9
Food cooking machine operators and tenders,16,1,4,3,3,4,2,0,–
"Food processing workers, all other",128,1,10,30,30,33,20,4,42.5
Computer control programmers and operators,71,2,5,19,25,12,9,1,38.9
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",14,0,2,1,5,4,2,0,–
"Forging machine setters, operators, and tenders, metal and plastic",5,0,0,1,1,1,1,1,–
"Rolling machine setters, operators, and tenders, metal and plastic",10,0,0,3,1,3,3,0,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",85,1,11,15,17,22,17,2,44.0
"Drilling and boring machine tool setters, operators, and tenders, metal 	and plastic",2,0,0,1,0,0,0,0,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",45,1,5,6,7,14,9,3,–
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",9,0,4,2,1,2,0,0,–
"Milling and planing machine setters, operators, and tenders, metal and plastic",5,0,0,2,0,2,0,1,–
Machinists,391,6,33,66,90,99,83,13,44.7
"Metal furnace operators, tenders, pourers, and casters",27,0,5,6,6,5,4,0,–
"Model makers and patternmakers, metal and plastic",5,0,1,1,1,2,1,0,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",38,1,2,11,10,5,10,1,–
"Multiple machine tool setters, operators, and tenders, metal and plastic",4,0,0,0,0,2,1,0,–
Tool and die makers,67,0,1,8,18,15,20,5,49.4
"Welding, soldering, and brazing workers",615,14,67,173,142,135,73,13,39.3
"Heat treating equipment setters, operators, and tenders, metal and plastic",4,0,0,0,0,1,1,0,–
"Layout workers, metal and plastic",9,1,1,3,1,0,3,0,–
"Plating and coating machine setters, operators, and tenders, metal and plastic",29,0,1,4,4,16,4,1,–
"Tool grinders, filers, and sharpeners",10,0,1,1,4,2,2,1,–
"Metal workers and plastic workers, all other",342,6,29,65,68,90,73,10,44.5
Prepress technicians and workers,25,0,2,5,3,7,4,3,–
Printing press operators,187,1,18,41,40,52,27,7,41.9
Print binding and finishing workers,21,0,1,1,4,5,8,2,–
Laundry and dry-cleaning workers,156,4,7,33,29,36,35,12,47.5
"Pressers, textile, garment, and related materials",48,0,1,16,10,12,5,3,–
Sewing machine operators,158,2,6,18,27,44,48,13,50.8
Shoe and leather workers and repairers,4,0,0,0,0,1,1,1,–
Shoe machine operators and tenders,3,1,0,0,1,0,0,0,–
"Tailors, dressmakers, and sewers",92,1,1,10,15,27,28,9,53.0
Textile bleaching and dyeing machine operators and tenders,3,0,0,1,0,1,1,0,–
"Textile cutting machine setters, operators, and tenders",6,0,0,2,1,0,2,0,–
"Textile knitting and weaving machine setters, operators, and tenders",12,0,1,2,2,3,2,2,–
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",12,0,1,1,7,2,0,1,–
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,0,0,0,0,0,0,0,–
Fabric and apparel patternmakers,1,0,0,0,0,0,1,0,–
Upholsterers,40,1,4,4,4,17,7,5,–
"Textile, apparel, and furnishings workers, all other",14,1,1,1,5,2,4,0,–
Cabinetmakers and bench carpenters,51,2,2,10,12,14,8,2,44.7
Furniture finishers,7,1,0,2,0,3,1,0,–
"Model makers and patternmakers, wood",1,0,1,0,0,0,0,0,–
"Sawing machine setters, operators, and tenders, wood",32,1,2,7,7,4,6,4,–
"Woodworking machine setters, operators, and tenders, except sawing",19,1,1,5,6,5,1,0,–
"Woodworkers, all other",28,0,2,2,4,9,7,4,–
"Power plant operators, distributors, and dispatchers",45,0,1,14,10,10,10,1,–
Stationary engineers and boiler operators,96,0,3,12,21,30,27,4,49.9
Water and wastewater treatment plant and system operators,72,0,2,11,14,24,19,2,50.3
Miscellaneous plant and system operators,41,0,2,13,10,5,11,0,–
"Chemical processing machine setters, operators, and tenders",63,0,4,18,15,17,7,1,41.1
"Crushing, grinding, polishing, mixing, and blending workers",69,1,8,15,15,17,12,1,42.2
Cutting workers,60,2,9,7,17,15,9,2,42.6
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",40,1,5,6,13,7,7,1,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",9,0,0,4,1,2,1,0,–
"Inspectors, testers, sorters, samplers, and weighers",752,6,63,181,153,171,146,31,43.1
Jewelers and precious stone and metal workers,44,0,2,7,8,12,13,2,–
"Medical, dental, and ophthalmic laboratory technicians",85,1,8,15,22,14,20,6,45.1
Packaging and filling machine operators and tenders,259,6,31,47,64,62,41,8,40.7
Painting workers,156,4,15,38,40,33,23,3,40.1
Photographic process workers and processing machine operators,27,0,6,8,4,5,4,0,–
Semiconductor processors,1,0,0,0,1,0,0,0,–
Adhesive bonding machine operators and tenders,6,0,1,0,2,2,0,0,–
"Cleaning, washing, and metal pickling equipment operators and tenders",6,0,1,0,3,1,1,0,–
Cooling and freezing equipment operators and tenders,4,0,0,3,1,0,0,0,–
Etchers and engravers,13,0,0,1,1,5,4,0,–
"Molders, shapers, and casters, except metal and plastic",31,0,2,6,7,7,7,2,–
"Paper goods machine setters, operators, and tenders",31,0,0,9,9,6,5,2,–
Tire builders,12,0,1,2,6,1,1,0,–
Helpers--production workers,54,5,8,17,8,7,8,1,30.9
"Production workers, all other",947,21,106,198,215,223,146,40,41.6
Transportation and material moving occupations,"9,010",337,877,"1,700","1,841","2,149","1,582",523,43.3
Supervisors of transportation and material moving workers,199,1,10,45,39,61,36,8,44.9
Aircraft pilots and flight engineers,133,0,3,17,39,41,28,6,47.1
Air traffic controllers and airfield operations specialists,31,0,0,10,5,11,4,1,–
Flight attendants,92,0,6,10,19,33,21,3,46.8
"Ambulance drivers and attendants, except emergency medical technicians",19,0,1,5,2,5,4,2,–
Bus drivers,584,1,11,56,98,159,165,95,53.0
Driver/sales workers and truck drivers,"3,406",53,193,559,772,933,684,211,46.1
Taxi drivers and chauffeurs,383,0,10,69,78,91,88,47,49.0
"Motor vehicle operators, all other",61,0,4,5,8,15,8,21,55.9
Locomotive engineers and operators,55,0,2,7,22,13,11,1,44.7
"Railroad brake, signal, and switch operators",9,0,0,1,2,3,4,0,–
Railroad conductors and yardmasters,46,0,3,13,12,13,5,1,–
"Subway, streetcar, and other rail transportation workers",19,0,2,5,6,3,2,2,–
Sailors and marine oilers,27,2,9,4,4,3,4,1,–
Ship and boat captains and operators,41,0,2,7,10,14,7,2,–
Ship engineers,7,0,0,1,3,2,2,0,–
Bridge and lock tenders,6,0,0,0,0,1,4,0,–
Parking lot attendants,78,4,24,17,9,10,11,3,31.6
Automotive and watercraft service attendants,97,5,30,24,18,9,10,1,30.4
Transportation inspectors,47,0,4,7,13,13,9,3,–
"Transportation attendants, except flight attendants",27,0,4,4,3,5,7,4,–
Other transportation workers,25,0,4,6,6,6,2,2,–
Conveyor operators and tenders,6,0,1,0,1,1,2,0,–
Crane and tower operators,74,0,3,19,19,18,13,2,44.1
"Dredge, excavating, and loading machine operators",44,1,5,8,6,13,7,4,–
Hoist and winch operators,7,0,2,1,1,2,1,0,–
Industrial truck and tractor operators,564,6,52,143,130,140,80,12,41.4
Cleaners of vehicles and equipment,375,50,83,85,58,53,35,12,30.7
"Laborers and freight, stock, and material movers, hand","1,867",154,324,430,335,330,238,55,36.2
Machine feeders and offbearers,17,0,3,3,5,1,4,0,–
"Packers and packagers, hand",505,57,72,100,94,110,57,16,37.2
Pumping station operators,27,0,2,9,1,8,5,1,–
Refuse and recyclable material collectors,84,2,8,20,17,21,10,5,41.7
Mine shuttle car operators,1,0,0,1,0,0,0,0,–
"Tank car, truck, and ship loaders",6,0,0,3,0,2,1,0,–
"Material moving workers, all other",41,1,2,8,8,8,14,1,–
