Millwrights,57,0,2,14,15,16,9,1,44.0
Electrical power-line installers and repairers,119,0,12,25,29,31,18,4,42.7
Telecommunications line installers and repairers,177,1,12,49,60,32,23,0,39.9
Precision instrument and equipment repairers,66,0,2,8,17,20,14,5,47.3
Wind turbine service technicians,4,0,0,2,1,1,0,0,–
"Coin, vending, and amusement machine servicers and repairers",48,1,3,11,11,9,11,2,–
Commercial divers,1,0,0,1,0,0,0,0,–
Locksmiths and safe repairers,21,0,1,5,4,3,5,2,–
Manufactured building and mobile home installers,5,0,1,2,1,2,1,0,–
Riggers,10,0,1,3,1,1,3,0,–
Signal and track switch repairers,8,0,0,2,3,2,0,0,–
"Helpers--installation, maintenance, and repair workers",28,7,5,6,2,7,2,0,–
"Other installation, maintenance, and repair workers",200,2,15,46,40,52,35,10,42.7
,,,,,,,,,
"Production, transportation, and material moving occupations","17,647",477,"1,709","3,601","3,645","4,172","3,154",888,43.1
Production occupations,"8,522",156,776,"1,860","1,809","2,051","1,517",354,42.9
First-line supervisors of production and operating workers,817,1,24,159,182,264,159,28,45.9
"Aircraft structure, surfaces, rigging, and systems assemblers",14,0,0,4,2,3,5,1,–
"Electrical, electronics, and electromechanical assemblers",133,2,18,25,23,29,27,9,43.3
Engine and other machine assemblers,11,0,0,3,3,2,2,0,–
Structural metal fabricators and fitters,32,0,4,10,5,6,6,1,–
Miscellaneous assemblers and fabricators,"1,026",23,114,244,219,216,169,41,41.3
Bakers,231,10,33,55,30,56,35,12,40.6
"Butchers and other meat, poultry, and fish processing workers",302,5,35,78,65,63,43,13,40.3
"Food and tobacco roasting, baking, and drying machine operators and tenders",14,0,3,6,2,2,1,0,–
Food batchmakers,101,6,13,31,22,20,8,2,35.9
Food cooking machine operators and tenders,13,1,1,5,2,2,2,0,–
"Food processing workers, all other",135,2,17,39,31,25,16,6,38.3
Computer control programmers and operators,88,2,10,15,26,22,13,1,41.3
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",9,0,1,3,1,3,1,0,–
"Forging machine setters, operators, and tenders, metal and plastic",8,0,1,3,1,2,0,0,–
"Rolling machine setters, operators, and tenders, metal and plastic",15,0,0,4,3,4,4,0,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",82,2,11,16,20,18,14,1,41.1
"Drilling and boring machine tool setters, operators, and tenders, metal 	and plastic",5,0,0,2,1,1,2,0,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51,2,9,13,9,12,5,2,36.4
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",11,0,0,3,1,4,3,0,–
"Milling and planing machine setters, operators, and tenders, metal and plastic",0,0,0,0,0,0,0,0,–
Machinists,363,3,29,73,68,92,85,14,45.5
"Metal furnace operators, tenders, pourers, and casters",30,0,1,5,7,9,6,2,–
"Model makers and patternmakers, metal and plastic",5,0,0,0,0,3,1,0,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",46,1,3,15,9,7,9,1,–
"Multiple machine tool setters, operators, and tenders, metal and plastic",1,0,0,1,0,1,0,0,–
Tool and die makers,47,0,0,1,10,15,17,3,–
"Welding, soldering, and brazing workers",615,15,69,162,140,140,76,13,39.5
"Heat treating equipment setters, operators, and tenders, metal and plastic",5,0,0,0,1,2,1,0,–
"Layout workers, metal and plastic",5,0,1,1,1,0,1,0,–
"Plating and coating machine setters, operators, and tenders, metal and plastic",23,1,4,4,8,5,2,0,–
"Tool grinders, filers, and sharpeners",6,0,0,4,0,0,1,0,–
"Metal workers and plastic workers, all other",376,4,46,80,72,95,68,12,43.3
Prepress technicians and workers,22,0,2,3,4,7,4,1,–
Printing press operators,180,4,13,37,44,42,34,5,44.0
Print binding and finishing workers,20,0,0,2,5,3,6,5,–
Laundry and dry-cleaning workers,192,3,16,33,31,48,39,23,48.7
"Pressers, textile, garment, and related materials",34,0,3,7,7,9,7,1,–
Sewing machine operators,196,1,7,24,54,48,52,10,47.4
Shoe and leather workers and repairers,7,0,0,1,2,2,1,0,–
Shoe machine operators and tenders,2,1,0,0,0,0,0,1,–
"Tailors, dressmakers, and sewers",83,2,4,6,13,18,25,16,54.0
Textile bleaching and dyeing machine operators and tenders,3,0,0,2,0,1,0,0,–
"Textile cutting machine setters, operators, and tenders",9,0,1,2,2,1,2,1,–
"Textile knitting and weaving machine setters, operators, and tenders",9,0,3,2,2,2,1,0,–
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",9,0,0,0,2,3,2,1,–
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,0,0,0,0,0,0,0,–
Fabric and apparel patternmakers,4,0,0,0,0,2,1,1,–
Upholsterers,40,0,2,7,10,7,12,1,–
"Textile, apparel, and furnishings workers, all other",16,0,1,4,2,4,4,1,–
Cabinetmakers and bench carpenters,60,2,1,12,11,11,18,5,46.3
Furniture finishers,15,0,0,1,5,1,6,2,–
"Model makers and patternmakers, wood",1,0,1,0,0,0,0,0,–
"Sawing machine setters, operators, and tenders, wood",29,1,2,7,6,6,6,1,–
"Woodworking machine setters, operators, and tenders, except sawing",24,1,3,3,4,9,4,1,–
"Woodworkers, all other",31,1,1,6,6,5,9,3,–
"Power plant operators, distributors, and dispatchers",33,0,1,10,6,8,7,1,–
Stationary engineers and boiler operators,81,0,2,11,20,23,22,3,49.2
Water and wastewater treatment plant and system operators,89,0,4,12,23,28,18,4,48.3
Miscellaneous plant and system operators,36,0,3,9,10,9,5,1,–
"Chemical processing machine setters, operators, and tenders",63,1,3,23,11,12,12,1,40.8
"Crushing, grinding, polishing, mixing, and blending workers",86,2,13,21,18,18,13,2,39.6
Cutting workers,64,2,10,14,17,11,8,2,38.4
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",28,1,4,3,7,7,4,1,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",7,1,0,1,2,2,1,0,–
"Inspectors, testers, sorters, samplers, and weighers",752,12,54,161,157,185,148,35,44.1
Jewelers and precious stone and metal workers,44,0,2,5,10,14,10,4,–
"Medical, dental, and ophthalmic laboratory technicians",110,1,6,24,26,27,14,11,44.0
Packaging and filling machine operators and tenders,250,4,35,45,54,59,47,6,41.9
Painting workers,151,3,16,36,44,31,17,4,39.6
Photographic process workers and processing machine operators,33,0,5,13,3,8,2,2,–
Semiconductor processors,1,0,0,0,1,0,0,0,–
Adhesive bonding machine operators and tenders,11,0,0,2,1,4,2,1,–
"Cleaning, washing, and metal pickling equipment operators and tenders",4,1,0,1,0,1,1,0,–
Cooling and freezing equipment operators and tenders,4,0,0,3,0,0,0,0,–
Etchers and engravers,19,3,0,3,2,5,5,2,–
"Molders, shapers, and casters, except metal and plastic",27,0,2,10,4,1,8,1,–
"Paper goods machine setters, operators, and tenders",30,1,1,6,11,6,4,0,–
Tire builders,10,0,1,3,2,2,2,0,–
Helpers--production workers,40,5,10,7,4,7,6,1,–
"Production workers, all other",944,24,95,216,200,230,148,32,41.4
Transportation and material moving occupations,"9,125",321,933,"1,742","1,836","2,121","1,637",534,43.3
Supervisors of transportation and material moving workers,205,1,14,46,48,56,36,5,44.1
Aircraft pilots and flight engineers,140,0,1,18,42,47,27,6,48.0
Air traffic controllers and airfield operations specialists,30,1,2,10,2,9,4,2,–
Flight attendants,86,0,1,18,12,34,19,2,48.7
"Ambulance drivers and attendants, except emergency medical technicians",19,0,4,6,3,1,3,2,–
Bus drivers,550,1,11,51,96,167,149,75,52.2
Driver/sales workers and truck drivers,"3,469",45,216,593,738,919,730,228,46.4
Taxi drivers and chauffeurs,446,1,16,75,98,115,84,57,48.1
"Motor vehicle operators, all other",51,2,5,4,5,6,12,18,57.3
Locomotive engineers and operators,50,0,0,6,17,16,11,0,47.6
"Railroad brake, signal, and switch operators",6,0,0,0,3,3,0,0,–
Railroad conductors and yardmasters,52,1,3,13,17,13,4,1,39.9
"Subway, streetcar, and other rail transportation workers",15,0,0,4,7,3,0,1,–
Sailors and marine oilers,11,0,5,2,2,1,1,0,–
Ship and boat captains and operators,35,0,1,5,12,8,6,3,–
Ship engineers,6,0,1,0,0,0,3,1,–
Bridge and lock tenders,5,0,0,0,1,0,1,2,–
Parking lot attendants,91,5,19,24,14,10,13,6,33.9
Automotive and watercraft service attendants,99,16,30,26,10,7,8,2,26.8
Transportation inspectors,29,0,0,7,4,9,8,1,–
"Transportation attendants, except flight attendants",22,0,1,3,5,5,4,3,–
Other transportation workers,43,0,8,15,5,6,9,0,–
Conveyor operators and tenders,7,0,0,1,1,2,1,1,–
Crane and tower operators,76,0,2,13,21,18,17,5,45.5
"Dredge, excavating, and loading machine operators",35,0,5,3,11,10,4,2,–
Hoist and winch operators,6,0,0,3,1,0,1,1,–
Industrial truck and tractor operators,589,5,60,145,131,136,97,15,41.3
Cleaners of vehicles and equipment,338,40,60,72,63,65,31,7,35.0
"Laborers and freight, stock, and material movers, hand","1,908",126,360,447,338,322,255,59,35.9
Machine feeders and offbearers,33,1,9,9,3,5,7,0,–
"Packers and packagers, hand",505,70,76,89,94,92,66,18,36.6
Pumping station operators,23,0,3,8,2,5,2,3,–
Refuse and recyclable material collectors,97,3,13,18,18,24,18,4,42.7
Mine shuttle car operators,1,0,0,0,1,0,0,0,–
"Tank car, truck, and ship loaders",5,0,1,1,2,1,1,0,–
"Material moving workers, all other",43,3,6,9,9,7,8,2,–
