,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
"Maintenance and repair workers, general",552,9,31,109,102,149,121,31,47.2
"Maintenance workers, machinery",21,2,2,2,2,4,7,1,–
Millwrights,40,1,0,8,9,9,9,2,–
Electrical power-line installers and repairers,136,0,8,28,40,31,23,5,42.3
Telecommunications line installers and repairers,171,6,13,39,53,43,15,2,40.1
Precision instrument and equipment repairers,66,1,2,9,18,14,19,4,46.5
Wind turbine service technicians,5,0,1,1,2,1,0,0,–
"Coin, vending, and amusement machine servicers and repairers",38,1,4,10,7,10,5,2,–
Commercial divers,1,0,0,0,1,0,0,0,–
Locksmiths and safe repairers,30,1,3,7,6,6,5,3,–
Manufactured building and mobile home installers,10,0,1,1,3,3,3,0,–
Riggers,13,0,1,6,3,0,4,0,–
Signal and track switch repairers,7,0,0,3,1,2,1,0,–
"Helpers--installation, maintenance, and repair workers",19,1,5,6,2,4,2,0,–
"Other installation, maintenance, and repair workers",198,5,17,50,38,39,40,8,43.1
,,,,,,,,,
"Production, transportation, and material moving occupations","17,743",500,"1,687","3,681","3,547","4,138","3,249",942,43.2
Production occupations,"8,459",161,760,"1,851","1,735","2,026","1,559",367,43.2
First-line supervisors of production and operating workers,763,4,22,139,169,244,157,27,46.3
"Aircraft structure, surfaces, rigging, and systems assemblers",5,0,0,2,1,1,1,0,–
"Electrical, electronics, and electromechanical assemblers",117,4,10,26,15,27,29,7,46.0
Engine and other machine assemblers,9,0,0,2,4,0,2,0,–
Structural metal fabricators and fitters,22,0,1,5,3,7,5,1,–
Miscellaneous assemblers and fabricators,"1,082",21,128,256,220,239,179,38,40.9
Bakers,224,11,28,65,30,43,32,15,39.1
"Butchers and other meat, poultry, and fish processing workers",277,8,26,77,45,65,40,15,40.6
"Food and tobacco roasting, baking, and drying machine operators and tenders",24,0,4,3,3,9,5,0,–
Food batchmakers,107,7,16,31,21,18,13,3,35.4
Food cooking machine operators and tenders,10,1,2,2,2,1,3,0,–
"Food processing workers, all other",138,4,11,26,32,33,27,5,43.5
Computer control programmers and operators,87,0,5,22,22,22,14,2,44.0
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,0,0,3,2,6,2,0,–
"Forging machine setters, operators, and tenders, metal and plastic",5,0,0,2,1,2,0,0,–
"Rolling machine setters, operators, and tenders, metal and plastic",13,0,1,5,4,2,2,0,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",83,0,10,23,15,15,17,4,40.9
"Drilling and boring machine tool setters, operators, and tenders, metal	and plastic",8,0,0,3,1,2,2,0,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",48,1,2,6,16,10,12,0,–
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",14,1,0,4,2,3,4,0,–
"Milling and planing machine setters, operators, and tenders, metal and plastic",6,0,0,2,2,1,1,0,–
Machinists,356,3,25,66,60,96,94,12,48.3
"Metal furnace operators, tenders, pourers, and casters",31,0,1,9,6,7,6,2,–
"Model makers and patternmakers, metal and plastic",4,0,0,0,0,3,1,0,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",33,1,5,7,6,8,4,1,–
"Multiple machine tool setters, operators, and tenders, metal and plastic",3,0,2,0,0,1,0,0,–
Tool and die makers,50,1,0,9,7,13,16,5,51.7
"Welding, soldering, and brazing workers",603,10,76,144,148,131,84,9,39.9
"Heat treating equipment setters, operators, and tenders, metal and plastic",3,0,0,1,0,1,0,0,–
"Layout workers, metal and plastic",7,0,0,3,2,1,0,1,–
"Plating and coating machine setters, operators, and tenders, metal and plastic",20,0,2,5,2,7,4,0,–
"Tool grinders, filers, and sharpeners",5,0,1,3,0,0,0,0,–
"Metal workers and plastic workers, all other",379,7,43,84,73,92,64,16,42.6
Prepress technicians and workers,22,0,1,3,7,6,4,1,–
Printing press operators,205,6,11,34,50,49,47,8,45.4
Print binding and finishing workers,14,0,4,1,2,2,4,2,–
Laundry and dry-cleaning workers,188,2,9,26,41,53,38,18,47.7
"Pressers, textile, garment, and related materials",36,0,3,5,8,12,4,2,–
Sewing machine operators,208,4,11,35,50,54,49,5,45.8
Shoe and leather workers and repairers,8,0,1,1,2,0,2,1,–
Shoe machine operators and tenders,2,0,0,1,0,0,0,0,–
"Tailors, dressmakers, and sewers",79,1,3,7,12,12,21,23,54.1
Textile bleaching and dyeing machine operators and tenders,2,0,0,0,0,1,0,0,–
"Textile cutting machine setters, operators, and tenders",9,0,1,0,2,3,1,2,–
"Textile knitting and weaving machine setters, operators, and tenders",13,0,0,2,3,3,3,1,–
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",11,0,0,2,3,3,3,0,–
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,0,0,0,0,0,0,0,–
Fabric and apparel patternmakers,1,0,0,0,0,0,1,0,–
Upholsterers,36,0,5,5,7,10,8,2,–
"Textile, apparel, and furnishings workers, all other",20,2,3,4,4,3,4,1,–
Cabinetmakers and bench carpenters,56,1,8,9,5,12,15,6,49.2
Furniture finishers,19,0,0,2,6,2,6,3,–
"Model makers and patternmakers, wood",0,0,0,0,0,0,0,0,–
"Sawing machine setters, operators, and tenders, wood",35,1,2,13,5,5,9,1,–
"Woodworking machine setters, operators, and tenders, except sawing",23,0,2,7,5,3,4,1,–
"Woodworkers, all other",34,0,2,8,5,5,11,3,–
"Power plant operators, distributors, and dispatchers",44,0,0,9,9,14,11,1,–
Stationary engineers and boiler operators,78,1,3,11,13,23,23,4,49.9
Water and wastewater treatment plant and system operators,77,0,2,14,20,22,17,2,46.4
Miscellaneous plant and system operators,38,0,3,10,7,13,4,1,–
"Chemical processing machine setters, operators, and tenders",54,0,3,14,9,18,9,1,47.3
"Crushing, grinding, polishing, mixing, and blending workers",94,1,12,21,22,21,14,4,41.8
Cutting workers,67,1,8,17,22,10,7,2,39.0
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",29,1,5,4,4,11,3,1,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",16,0,0,4,2,4,4,1,–
"Inspectors, testers, sorters, samplers, and weighers",734,10,55,162,147,170,145,45,44.0
Jewelers and precious stone and metal workers,40,0,3,5,8,7,11,6,–
"Medical, dental, and ophthalmic laboratory technicians",85,3,8,17,22,15,13,7,43.2
Packaging and filling machine operators and tenders,236,11,26,53,43,61,36,6,40.8
Painting workers,173,5,18,47,42,38,19,4,39.4
Photographic process workers and processing machine operators,29,2,6,6,5,3,5,2,–
Semiconductor processors,2,0,0,0,0,1,0,0,–
Adhesive bonding machine operators and tenders,11,0,1,1,1,3,3,1,–
"Cleaning, washing, and metal pickling equipment operators and tenders",3,0,0,1,1,1,0,0,–
Cooling and freezing equipment operators and tenders,0,0,0,0,0,0,0,0,–
Etchers and engravers,6,0,0,1,0,0,4,0,–
"Molders, shapers, and casters, except metal and plastic",24,0,2,9,7,2,3,1,–
"Paper goods machine setters, operators, and tenders",33,0,3,6,5,13,5,2,–
Tire builders,10,0,1,1,4,3,1,0,–
Helpers--production workers,40,6,12,12,3,4,3,1,–
"Production workers, all other",968,19,98,227,209,223,162,31,41.8
Transportation and material moving occupations,"9,284",339,928,"1,829","1,812","2,113","1,690",574,43.3
Supervisors of transportation and material moving workers,190,0,8,42,53,47,31,10,43.7
Aircraft pilots and flight engineers,141,0,1,23,32,52,27,6,48.6
Air traffic controllers and airfield operations specialists,26,1,1,9,5,4,4,2,–
Flight attendants,93,1,4,18,13,34,19,5,49.1
"Ambulance drivers and attendants, except emergency medical technicians",19,0,2,4,1,2,7,2,–
Bus drivers,553,2,7,54,99,156,152,82,53.1
Driver/sales workers and truck drivers,"3,542",46,227,611,755,920,739,245,46.4
Taxi drivers and chauffeurs,500,3,24,88,100,112,112,60,48.2
"Motor vehicle operators, all other",63,1,5,10,6,10,16,17,54.3
Locomotive engineers and operators,52,0,0,10,15,15,11,1,45.9
"Railroad brake, signal, and switch operators",2,0,0,0,0,1,1,0,–
Railroad conductors and yardmasters,55,2,3,9,18,16,5,1,41.1
"Subway, streetcar, and other rail transportation workers",15,0,2,2,6,4,1,1,–
Sailors and marine oilers,16,1,2,5,5,2,1,1,–
Ship and boat captains and operators,31,1,2,5,10,3,7,2,–
Ship engineers,4,0,0,0,1,1,1,0,–
Bridge and lock tenders,2,0,0,0,1,0,1,1,–
Parking lot attendants,89,6,24,13,12,13,14,7,37.0
Automotive and watercraft service attendants,97,11,27,21,9,9,13,6,29.8
Transportation inspectors,26,0,2,4,3,8,9,1,–
"Transportation attendants, except flight attendants",41,1,4,7,8,10,6,6,–
Other transportation workers,34,1,1,10,7,8,7,1,–
Conveyor operators and tenders,3,0,0,1,1,0,1,0,–
Crane and tower operators,63,0,1,15,12,23,8,3,43.9
"Dredge, excavating, and loading machine operators",37,0,1,7,9,9,6,4,–
Hoist and winch operators,9,1,1,2,1,1,2,0,–
Industrial truck and tractor operators,605,11,57,174,117,129,103,14,40.6
Cleaners of vehicles and equipment,328,37,59,76,59,51,36,9,33.7
"Laborers and freight, stock, and material movers, hand","1,900",138,357,449,305,331,261,59,35.6
Machine feeders and offbearers,30,0,4,4,8,5,7,1,–
"Packers and packagers, hand",550,70,85,123,99,99,58,17,35.1
Pumping station operators,16,0,0,5,4,2,3,1,–
Refuse and recyclable material collectors,101,2,11,23,20,27,14,4,41.5
Mine shuttle car operators,0,0,0,0,0,0,0,0,–
"Tank car, truck, and ship loaders",4,0,0,1,3,0,0,0,–
"Material moving workers, all other",45,1,6,5,14,8,7,3,–
