,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Industrial and refractory machinery mechanics,424,4,23,88,78,120,98,13,46.2
"Maintenance and repair workers, general",528,5,29,101,115,126,122,30,45.9
"Maintenance workers, machinery",27,0,0,4,8,7,7,1,–
Millwrights,40,1,1,6,14,9,8,1,–
Electrical power-line installers and repairers,129,2,10,28,37,28,21,5,42.2
Telecommunications line installers and repairers,189,1,14,48,55,43,22,6,40.7
Precision instrument and equipment repairers,63,1,1,16,10,12,16,6,47.3
Wind turbine service technicians,5,0,1,1,2,1,0,0,–
"Coin, vending, and amusement machine servicers and repairers",34,0,1,9,10,7,4,3,–
Commercial divers,0,0,0,0,0,0,0,0,–
Locksmiths and safe repairers,35,0,3,7,7,7,7,5,–
Manufactured building and mobile home installers,4,0,0,1,1,1,2,0,–
Riggers,14,0,1,6,3,2,2,0,–
Signal and track switch repairers,9,0,0,3,4,0,1,0,–
"Helpers--installation, maintenance, and repair workers",18,1,2,3,5,2,2,1,–
"Other installation, maintenance, and repair workers",215,3,19,46,43,45,45,14,44.9
,,,,,,,,,
"Production, transportation, and material moving occupations","17,927",497,"1,736","3,721","3,525","4,094","3,335","1,019",43.2
Production occupations,"8,482",155,783,"1,841","1,737","1,976","1,608",382,43.1
First-line supervisors of production and operating workers,768,4,23,133,179,226,173,30,46.5
"Aircraft structure, surfaces, rigging, and systems assemblers",1,0,0,0,0,0,1,0,–
"Electrical, electronics, and electromechanical assemblers",128,2,16,26,23,31,22,7,43.1
Engine and other machine assemblers,13,0,2,7,0,2,1,0,–
Structural metal fabricators and fitters,30,1,2,8,7,6,5,1,–
Miscellaneous assemblers and fabricators,"1,033",20,119,221,212,239,178,45,41.6
Bakers,215,9,25,40,45,41,46,8,42.5
"Butchers and other meat, poultry, and fish processing workers",269,10,34,64,55,58,32,17,40.4
"Food and tobacco roasting, baking, and drying machine operators and tenders",12,0,3,1,2,2,2,1,–
Food batchmakers,89,8,15,14,18,10,17,5,39.0
Food cooking machine operators and tenders,15,2,0,5,2,3,2,0,–
"Food processing workers, all other",175,4,19,41,37,43,22,11,41.0
Computer control programmers and operators,99,1,6,26,19,23,20,3,42.9
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",19,0,3,5,6,3,1,0,–
"Forging machine setters, operators, and tenders, metal and plastic",8,0,0,3,2,2,0,0,–
"Rolling machine setters, operators, and tenders, metal and plastic",8,0,0,1,4,1,1,0,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",80,2,7,22,12,17,15,5,42.6
"Drilling and boring machine tool setters, operators, and tenders, metal	and plastic",4,0,0,1,1,1,1,0,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",38,1,3,5,7,11,10,1,–
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",14,1,0,2,2,3,4,2,–
"Milling and planing machine setters, operators, and tenders, metal and plastic",5,0,1,1,1,2,0,0,–
Machinists,366,3,28,68,68,93,93,13,46.3
"Metal furnace operators, tenders, pourers, and casters",19,0,4,3,5,1,5,0,–
"Model makers and patternmakers, metal and plastic",5,0,0,0,0,1,1,3,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",45,4,6,6,11,8,8,2,–
"Multiple machine tool setters, operators, and tenders, metal and plastic",5,0,0,2,1,2,1,0,–
Tool and die makers,62,1,2,10,7,15,26,2,51.8
"Welding, soldering, and brazing workers",600,9,80,156,129,130,85,11,39.4
"Heat treating equipment setters, operators, and tenders, metal and plastic",3,0,0,1,0,1,0,0,–
"Layout workers, metal and plastic",12,0,2,4,3,2,0,1,–
"Plating and coating machine setters, operators, and tenders, metal and plastic",17,0,3,2,4,3,5,0,–
"Tool grinders, filers, and sharpeners",6,0,1,2,0,1,1,1,–
"Metal workers and plastic workers, all other",388,3,21,95,79,91,83,15,44.0
Prepress technicians and workers,24,0,2,4,5,8,4,1,–
Printing press operators,173,4,14,29,39,45,35,6,44.9
Print binding and finishing workers,11,0,2,1,3,1,3,2,–
Laundry and dry-cleaning workers,151,4,12,21,36,36,33,9,46.5
"Pressers, textile, garment, and related materials",30,0,2,3,11,12,2,1,–
Sewing machine operators,197,3,15,31,40,49,48,11,47.1
Shoe and leather workers and repairers,5,0,1,1,0,0,1,2,–
Shoe machine operators and tenders,5,0,1,1,2,0,0,0,–
"Tailors, dressmakers, and sewers",77,2,2,10,15,17,17,14,50.2
Textile bleaching and dyeing machine operators and tenders,1,0,0,0,0,0,0,0,–
"Textile cutting machine setters, operators, and tenders",8,0,0,1,3,3,0,2,–
"Textile knitting and weaving machine setters, operators, and tenders",19,0,0,3,2,7,6,2,–
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",16,1,1,1,7,3,2,0,–
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,0,0,0,0,0,0,0,–
Fabric and apparel patternmakers,3,0,0,1,0,1,0,0,–
Upholsterers,31,0,2,4,7,11,4,3,–
"Textile, apparel, and furnishings workers, all other",18,1,2,3,2,5,3,3,–
Cabinetmakers and bench carpenters,49,0,2,13,12,7,11,4,–
Furniture finishers,15,0,0,3,2,4,3,3,–
"Model makers and patternmakers, wood",1,0,0,0,0,1,0,0,–
"Sawing machine setters, operators, and tenders, wood",27,1,3,8,6,5,4,0,–
"Woodworking machine setters, operators, and tenders, except sawing",19,0,4,5,2,2,6,1,–
"Woodworkers, all other",28,1,2,3,6,5,8,4,–
"Power plant operators, distributors, and dispatchers",38,0,2,7,8,12,9,0,–
Stationary engineers and boiler operators,76,0,2,11,15,24,20,5,50.5
Water and wastewater treatment plant and system operators,107,0,5,24,22,26,25,5,45.4
Miscellaneous plant and system operators,42,0,3,13,9,9,8,0,–
"Chemical processing machine setters, operators, and tenders",55,1,5,18,6,14,11,0,41.9
"Crushing, grinding, polishing, mixing, and blending workers",72,2,7,21,10,19,11,2,41.1
Cutting workers,62,2,9,14,8,12,13,3,41.9
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",21,1,1,4,3,10,2,1,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",10,1,0,3,2,3,0,0,–
"Inspectors, testers, sorters, samplers, and weighers",793,7,64,195,152,173,157,45,43.2
Jewelers and precious stone and metal workers,43,0,4,6,9,7,13,3,–
"Medical, dental, and ophthalmic laboratory technicians",70,1,8,17,14,17,7,6,41.8
Packaging and filling machine operators and tenders,292,6,27,75,55,68,49,13,42.4
Painting workers,157,5,16,36,40,31,26,3,40.4
Photographic process workers and processing machine operators,31,2,4,6,6,9,3,1,–
Semiconductor processors,3,0,0,1,0,1,0,0,–
Adhesive bonding machine operators and tenders,6,0,3,0,0,1,1,0,–
"Cleaning, washing, and metal pickling equipment operators and tenders",11,0,2,1,0,3,4,0,–
Cooling and freezing equipment operators and tenders,3,0,0,0,0,1,1,0,–
Etchers and engravers,11,0,1,3,1,1,3,1,–
"Molders, shapers, and casters, except metal and plastic",35,0,4,9,10,6,5,0,–
"Paper goods machine setters, operators, and tenders",29,0,4,12,3,7,4,0,–
Tire builders,10,0,0,5,3,1,1,0,–
Helpers--production workers,50,5,10,12,5,11,6,1,32.7
"Production workers, all other",995,19,107,225,212,218,176,39,42.0
Transportation and material moving occupations,"9,445",342,954,"1,880","1,788","2,118","1,727",637,43.2
Supervisors of transportation and material moving workers,205,2,7,44,57,49,36,10,43.5
Aircraft pilots and flight engineers,120,0,2,19,24,40,30,4,49.0
Air traffic controllers and airfield operations specialists,17,0,0,7,3,3,4,0,–
Flight attendants,98,0,2,18,18,29,24,7,49.6
"Ambulance drivers and attendants, except emergency medical technicians",11,0,4,2,0,0,2,2,–
Bus drivers,578,1,20,62,82,155,161,97,53.0
Driver/sales workers and truck drivers,"3,506",47,232,601,736,916,721,251,46.2
Taxi drivers and chauffeurs,674,5,30,136,135,158,133,76,46.8
"Motor vehicle operators, all other",76,2,10,12,5,10,17,20,51.6
Locomotive engineers and operators,42,0,1,9,11,11,10,0,–
"Railroad brake, signal, and switch operators",4,0,0,0,2,1,2,0,–
Railroad conductors and yardmasters,50,0,2,14,13,14,5,0,41.7
"Subway, streetcar, and other rail transportation workers",15,0,1,4,2,4,2,1,–
Sailors and marine oilers,19,0,3,4,6,3,2,0,–
Ship and boat captains and operators,35,0,1,9,8,9,5,3,–
Ship engineers,2,0,1,0,0,0,1,0,–
Bridge and lock tenders,5,0,0,0,1,2,0,2,–
Parking lot attendants,95,8,21,19,17,14,8,8,35.1
Automotive and watercraft service attendants,94,15,16,19,15,15,12,2,33.6
Transportation inspectors,41,0,0,8,4,12,14,2,–
"Transportation attendants, except flight attendants",35,0,2,8,6,6,7,7,–
Other transportation workers,24,1,2,5,3,9,5,0,–
Conveyor operators and tenders,1,0,0,0,0,1,0,0,–
Crane and tower operators,53,0,4,17,9,12,5,6,39.6
"Dredge, excavating, and loading machine operators",30,0,2,7,7,6,4,3,–
Hoist and winch operators,7,0,0,3,1,0,3,0,–
Industrial truck and tractor operators,611,6,68,151,112,142,119,13,41.9
Cleaners of vehicles and equipment,331,42,72,74,49,45,42,9,31.7
"Laborers and freight, stock, and material movers, hand","1,930",146,360,479,314,309,256,67,35.1
Machine feeders and offbearers,31,2,5,6,5,5,6,2,–
"Packers and packagers, hand",539,60,70,112,106,98,68,24,37.4
Pumping station operators,21,0,1,6,5,4,3,2,–
Refuse and recyclable material collectors,94,3,7,18,20,25,12,9,43.0
Mine shuttle car operators,0,0,0,0,0,0,0,0,–
"Tank car, truck, and ship loaders",6,0,2,0,2,0,0,1,–
"Material moving workers, all other",40,0,5,5,8,9,7,6,–
