,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
"Maintenance workers, machinery",38,1,6,6,5,7,8,3,–
Millwrights,58,0,3,11,8,23,12,0,49.3
Electrical power-line installers and repairers,124,1,10,39,26,31,17,1,40.6
Telecommunications line installers and repairers,201,2,14,52,68,47,16,2,39.8
Precision instrument and equipment repairers,76,2,2,16,16,18,15,7,47.9
Wind turbine service technicians,2,0,0,1,0,0,0,0,–
"Coin, vending, and amusement machine servicers and repairers",46,0,4,10,11,11,7,3,–
Commercial divers,0,0,0,0,0,0,0,0,–
Locksmiths and safe repairers,28,0,0,4,6,9,5,4,–
Manufactured building and mobile home installers,7,0,0,3,0,1,1,1,–
Riggers,14,0,1,2,3,4,3,0,–
Signal and track switch repairers,5,0,0,0,1,4,0,0,–
"Helpers--installation, maintenance, and repair workers",24,4,5,4,7,1,1,1,–
"Other installation, maintenance, and repair workers",215,2,27,43,56,53,25,10,41.8
,,,,,,,,,
"Production, transportation, and material moving occupations","16,461",447,"1,519","3,341","3,563","4,215","2,659",717,42.8
Production occupations,"8,142",142,712,"1,685","1,812","2,185","1,346",260,43.1
First-line supervisors of production and operating workers,727,1,20,118,172,251,146,20,47.1
"Aircraft structure, surfaces, rigging, and systems assemblers",20,0,1,2,3,9,5,0,–
"Electrical, electronics, and electromechanical assemblers",156,2,17,21,33,46,30,7,45.9
Engine and other machine assemblers,34,1,1,7,4,12,8,0,–
Structural metal fabricators and fitters,32,0,1,8,8,12,1,1,–
Miscellaneous assemblers and fabricators,860,19,87,190,195,222,124,23,41.5
Bakers,207,8,33,40,36,49,30,10,40.3
"Butchers and other meat, poultry, and fish processing workers",342,11,46,91,67,74,42,11,39.0
"Food and tobacco roasting, baking, and drying machine operators and tenders",12,1,2,2,3,1,3,0,–
Food batchmakers,90,4,10,24,18,19,12,2,38.8
Food cooking machine operators and tenders,24,1,4,5,4,5,2,2,–
"Food processing workers, all other",115,1,12,29,29,34,8,2,41.0
Computer control programmers and operators,72,0,5,19,19,18,8,2,39.7
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,0,1,4,4,2,2,0,–
"Forging machine setters, operators, and tenders, metal and plastic",6,0,0,0,0,3,1,1,–
"Rolling machine setters, operators, and tenders, metal and plastic",8,0,0,3,1,3,1,0,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",100,1,11,22,24,24,16,2,40.0
"Drilling and boring machine tool setters, operators, and tenders, metal 	and plastic",5,0,0,1,1,2,1,0,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",65,3,10,8,14,15,13,2,42.4
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",15,0,0,1,8,3,2,1,–
"Milling and planing machine setters, operators, and tenders, metal and plastic",4,0,0,1,0,3,0,0,–
Machinists,419,4,29,73,92,116,85,19,45.6
"Metal furnace operators, tenders, pourers, and casters",16,0,0,6,4,3,2,0,–
"Model makers and patternmakers, metal and plastic",7,0,0,2,1,1,1,2,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",45,1,4,9,6,19,5,0,–
"Multiple machine tool setters, operators, and tenders, metal and plastic",5,0,1,0,1,2,1,0,–
Tool and die makers,66,1,1,5,14,21,19,5,51.0
"Welding, soldering, and brazing workers",505,6,53,127,119,118,69,14,40.9
"Heat treating equipment setters, operators, and tenders, metal and plastic",4,0,0,1,0,2,1,0,–
"Layout workers, metal and plastic",6,0,0,3,1,2,0,1,–
"Plating and coating machine setters, operators, and tenders, metal and plastic",15,0,1,3,5,4,2,0,–
"Tool grinders, filers, and sharpeners",7,1,1,1,0,3,0,1,–
"Metal workers and plastic workers, all other",368,5,33,83,95,90,55,7,41.7
Prepress technicians and workers,41,2,4,9,6,13,7,1,–
Printing press operators,217,4,20,41,45,69,33,6,43.6
Print binding and finishing workers,16,0,0,4,2,6,4,0,–
Laundry and dry-cleaning workers,174,5,19,30,33,39,37,11,44.6
"Pressers, textile, garment, and related materials",48,0,0,15,13,8,9,2,–
Sewing machine operators,169,0,4,29,40,48,36,11,48.0
Shoe and leather workers and repairers,11,0,1,1,2,4,1,1,–
Shoe machine operators and tenders,8,0,0,1,3,4,0,0,–
"Tailors, dressmakers, and sewers",94,0,3,9,18,29,24,11,52.3
Textile bleaching and dyeing machine operators and tenders,1,0,0,1,0,0,0,0,–
"Textile cutting machine setters, operators, and tenders",5,0,0,1,2,1,0,0,–
"Textile knitting and weaving machine setters, operators, and tenders",14,1,0,0,3,6,3,1,–
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",16,0,0,6,3,4,3,0,–
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",1,0,0,1,0,0,1,0,–
Fabric and apparel patternmakers,5,0,0,2,2,1,0,0,–
Upholsterers,47,1,4,11,9,7,14,1,–
"Textile, apparel, and furnishings workers, all other",22,1,1,3,5,5,5,2,–
Cabinetmakers and bench carpenters,66,0,5,12,13,18,17,2,47.1
Furniture finishers,17,0,0,2,3,6,6,0,–
"Model makers and patternmakers, wood",1,0,0,0,0,1,0,0,–
"Sawing machine setters, operators, and tenders, wood",32,2,7,6,6,7,3,1,–
"Woodworking machine setters, operators, and tenders, except sawing",20,0,2,6,2,6,4,0,–
"Woodworkers, all other",21,1,2,5,2,5,3,1,–
"Power plant operators, distributors, and dispatchers",50,0,0,10,12,19,7,2,46.0
Stationary engineers and boiler operators,95,1,1,9,18,31,30,5,51.5
Water and wastewater treatment plant and system operators,71,0,1,12,13,25,18,1,48.4
Miscellaneous plant and system operators,39,0,1,7,9,10,10,2,–
"Chemical processing machine setters, operators, and tenders",65,1,5,18,12,16,12,0,41.7
"Crushing, grinding, polishing, mixing, and blending workers",94,2,9,29,20,21,13,1,39.6
Cutting workers,84,3,9,19,19,17,16,1,41.2
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",34,0,3,7,8,12,4,0,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",11,0,1,6,1,1,2,0,–
"Inspectors, testers, sorters, samplers, and weighers",647,6,54,135,145,176,116,15,43.6
Jewelers and precious stone and metal workers,41,0,2,3,8,10,14,5,–
"Medical, dental, and ophthalmic laboratory technicians",87,1,12,15,23,21,11,3,40.9
Packaging and filling machine operators and tenders,288,10,36,69,60,70,37,6,39.1
Painting workers,120,2,9,29,34,30,13,3,40.8
Photographic process workers and processing machine operators,43,3,13,14,5,5,3,0,–
Semiconductor processors,3,0,1,0,1,1,0,0,–
Adhesive bonding machine operators and tenders,9,0,1,0,5,2,1,0,–
"Cleaning, washing, and metal pickling equipment operators and tenders",11,0,0,4,4,2,1,0,–
Cooling and freezing equipment operators and tenders,3,0,0,0,1,1,1,0,–
Etchers and engravers,10,0,1,0,4,3,1,1,–
"Molders, shapers, and casters, except metal and plastic",37,2,7,7,4,7,6,4,–
"Paper goods machine setters, operators, and tenders",37,0,1,7,10,14,3,1,–
Tire builders,20,0,1,5,6,7,1,0,–
Helpers--production workers,54,6,15,10,10,7,5,1,29.6
"Production workers, all other",777,16,70,166,185,205,115,20,42.2
Transportation and material moving occupations,"8,318",305,807,"1,655","1,751","2,030","1,313",456,42.6
Supervisors of transportation and material moving workers,228,0,15,43,57,72,35,6,44.3
Aircraft pilots and flight engineers,121,0,3,16,24,45,28,5,49.0
Air traffic controllers and airfield operations specialists,43,0,1,12,11,10,7,1,–
Flight attendants,88,0,1,14,24,30,15,4,45.5
"Ambulance drivers and attendants, except emergency medical technicians",13,0,2,5,0,3,3,1,–
Bus drivers,573,3,5,46,98,171,158,92,52.6
Driver/sales workers and truck drivers,"3,059",43,167,550,716,858,547,178,45.4
Taxi drivers and chauffeurs,342,0,15,64,63,92,67,41,48.8
"Motor vehicle operators, all other",62,0,3,9,11,11,8,21,51.8
Locomotive engineers and operators,45,0,1,6,12,13,11,2,–
"Railroad brake, signal, and switch operators",5,0,1,2,0,1,0,0,–
Railroad conductors and yardmasters,52,1,4,11,12,14,9,2,43.7
"Subway, streetcar, and other rail transportation workers",11,0,1,3,1,4,2,0,–
Sailors and marine oilers,22,0,5,9,3,1,3,1,–
Ship and boat captains and operators,37,0,1,9,5,11,9,3,–
Ship engineers,8,1,0,3,3,1,0,0,–
Bridge and lock tenders,6,0,0,1,1,2,1,0,–
Parking lot attendants,73,6,17,16,13,12,6,2,32.6
Automotive and watercraft service attendants,76,11,18,16,12,8,6,4,30.1
Transportation inspectors,32,0,2,7,5,11,6,1,–
"Transportation attendants, except flight attendants",32,0,3,6,3,7,10,3,–
Other transportation workers,16,0,1,4,3,4,2,1,–
Conveyor operators and tenders,5,1,0,0,0,2,1,0,–
Crane and tower operators,63,0,5,12,20,17,7,2,42.7
"Dredge, excavating, and loading machine operators",51,0,6,7,10,16,9,1,44.4
Hoist and winch operators,4,0,1,2,1,1,0,0,–
Industrial truck and tractor operators,528,9,55,142,130,124,57,12,39.8
Cleaners of vehicles and equipment,331,43,62,75,70,42,32,7,32.7
"Laborers and freight, stock, and material movers, hand","1,787",161,323,423,321,322,188,49,35.0
Machine feeders and offbearers,36,3,5,10,6,7,4,1,–
"Packers and packagers, hand",393,16,63,98,77,78,50,11,37.9
Pumping station operators,21,0,3,6,4,3,5,0,–
Refuse and recyclable material collectors,92,2,12,22,16,24,12,4,41.3
Mine shuttle car operators,1,0,0,0,0,0,1,0,–
"Tank car, truck, and ship loaders",3,0,0,0,0,2,0,0,–
"Material moving workers, all other",62,3,7,6,19,12,13,2,43.1
