,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Control and valve installers and repairers,20,0,1,3,6,8,2,1,-1
"Heating, air conditioning, and refrigeration mechanics and installers",472,11,47,105,118,96,75,19,41.2
Home appliance repairers,41,0,5,7,9,7,10,3,-1
Industrial and refractory machinery mechanics,442,6,24,87,103,100,101,20,45.2
"Maintenance and repair workers, general",507,9,26,90,111,121,122,29,47.0
"Maintenance workers, machinery",25,0,0,3,6,6,8,2,-1
Millwrights,46,0,1,8,7,11,16,2,-1
Electrical power-line installers and repairers,137,0,6,39,33,29,23,6,43.1
Telecommunications line installers and repairers,210,1,17,56,56,50,27,3,40.7
Precision instrument and equipment repairers,65,2,3,13,14,10,17,7,44.9
Wind turbine service technicians,3,0,0,1,1,0,0,0,-1
"Coin, vending, and amusement machine servicers and repairers",36,1,4,6,9,8,6,2,-1
Commercial divers,1,0,0,1,0,0,0,0,-1
Locksmiths and safe repairers,34,1,0,8,7,6,9,2,-1
Manufactured building and mobile home installers,7,0,0,0,3,4,0,0,-1
Riggers,14,0,0,2,5,6,1,0,-1
Signal and track switch repairers,14,0,0,6,3,0,5,0,-1
"Helpers--installation, maintenance, and repair workers",16,3,3,3,3,1,1,1,-1
"Other installation, maintenance, and repair workers",167,5,13,33,29,38,33,16,45.3
,,,,,,,,,
"Production, transportation, and material moving occupations","18,539",529,"1,788","4,013","3,614","4,066","3,481","1,048",43.0
Production occupations,"8,621",167,799,"1,958","1,748","1,920","1,646",383,42.9
First-line supervisors of production and operating workers,832,3,31,151,202,226,178,40,46.3
"Aircraft structure, surfaces, rigging, and systems assemblers",5,0,0,2,1,1,1,0,-1
"Electrical, electronics, and electromechanical assemblers",124,3,9,32,20,29,24,6,44.0
Engine and other machine assemblers,10,0,1,4,1,3,1,0,-1
Structural metal fabricators and fitters,33,1,4,11,6,8,3,0,-1
Miscellaneous assemblers and fabricators,"1,064",19,120,275,199,208,198,46,41.1
Bakers,219,8,31,50,41,41,35,12,40.2
"Butchers and other meat, poultry, and fish processing workers",265,5,36,64,59,56,34,10,39.8
"Food and tobacco roasting, baking, and drying machine operators and tenders",6,0,1,1,0,2,2,0,-1
Food batchmakers,80,4,14,18,14,15,8,6,38.1
Food cooking machine operators and tenders,14,4,1,4,4,0,0,1,-1
"Food processing workers, all other",158,1,13,32,42,42,24,4,43.2
Computer control programmers and operators,107,1,12,24,24,25,19,3,41.6
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",14,0,5,3,3,2,1,0,-1
"Forging machine setters, operators, and tenders, metal and plastic",6,0,1,1,1,2,0,0,-1
"Rolling machine setters, operators, and tenders, metal and plastic",11,0,0,3,3,0,4,0,-1
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",61,0,5,12,9,15,16,3,46.6
"Drilling and boring machine tool setters, operators, and tenders, metal 	and plastic",3,1,0,2,0,0,0,0,-1
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",38,0,5,4,7,10,8,4,-1
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",8,0,0,1,2,2,2,1,-1
"Milling and planing machine setters, operators, and tenders, metal and plastic",3,0,0,2,0,0,1,0,-1
Machinists,344,7,23,69,59,79,89,18,46.5
"Metal furnace operators, tenders, pourers, and casters",20,0,2,6,1,8,2,1,-1
"Model makers and patternmakers, metal and plastic",6,0,0,2,0,1,2,0,-1
"Molders and molding machine setters, operators, and tenders, metal and plastic",40,0,5,5,11,10,9,0,-1
"Multiple machine tool setters, operators, and tenders, metal and plastic",5,0,0,0,3,1,1,0,-1
Tool and die makers,50,1,2,5,6,14,20,3,52.7
"Welding, soldering, and brazing workers",633,17,69,176,141,124,92,13,39.4
"Heat treating equipment setters, operators, and tenders, metal and plastic",9,0,0,0,3,3,3,0,-1
"Layout workers, metal and plastic",9,0,2,1,2,2,2,0,-1
"Plating and coating machine setters, operators, and tenders, metal and plastic",17,0,2,3,5,2,4,1,-1
"Tool grinders, filers, and sharpeners",3,0,0,0,0,1,1,1,-1
"Metal workers and plastic workers, all other",373,5,27,92,80,83,72,16,43.1
Prepress technicians and workers,18,0,2,6,3,3,4,1,-1
Printing press operators,164,5,11,27,34,43,36,8,46.6
Print binding and finishing workers,13,0,0,2,3,2,5,2,-1
Laundry and dry-cleaning workers,143,5,7,24,34,34,29,11,45.2
"Pressers, textile, garment, and related materials",36,1,3,3,14,5,7,3,-1
Sewing machine operators,174,2,6,23,33,47,47,16,49.8
Shoe and leather workers and repairers,8,0,0,1,2,1,4,2,-1
Shoe machine operators and tenders,4,0,1,1,1,1,1,0,-1
"Tailors, dressmakers, and sewers",85,0,0,9,13,23,21,19,54.3
Textile bleaching and dyeing machine operators and tenders,1,0,0,0,0,1,0,0,-1
"Textile cutting machine setters, operators, and tenders",6,0,0,1,3,0,1,0,-1
"Textile knitting and weaving machine setters, operators, and tenders",5,0,0,1,1,0,1,2,-1
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",5,0,0,1,0,4,0,0,-1
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,0,0,0,0,0,0,0,-1
Fabric and apparel patternmakers,3,0,0,0,0,1,2,0,-1
Upholsterers,31,1,2,4,6,11,6,1,-1
"Textile, apparel, and furnishings workers, all other",16,1,3,3,1,2,6,1,-1
Cabinetmakers and bench carpenters,65,1,4,15,9,14,17,5,45.9
Furniture finishers,20,0,1,3,4,4,5,3,-1
"Model makers and patternmakers, wood",0,0,0,0,0,0,0,0,-1
"Sawing machine setters, operators, and tenders, wood",37,2,8,8,8,8,2,1,-1
"Woodworking machine setters, operators, and tenders, except sawing",27,3,5,7,2,4,6,1,-1
"Woodworkers, all other",28,1,3,6,3,3,10,3,-1
"Power plant operators, distributors, and dispatchers",33,0,1,12,4,8,7,1,-1
Stationary engineers and boiler operators,79,1,1,7,9,31,26,4,52.8
Water and wastewater treatment plant and system operators,101,0,1,17,24,27,26,4,49.2
Miscellaneous plant and system operators,38,0,5,14,7,6,6,1,-1
"Chemical processing machine setters, operators, and tenders",75,2,5,27,9,17,15,1,40.8
"Crushing, grinding, polishing, mixing, and blending workers",79,0,13,25,10,18,13,1,38.0
Cutting workers,60,1,10,12,17,9,8,3,39.1
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",22,0,1,4,5,5,4,2,-1
"Furnace, kiln, oven, drier, and kettle operators and tenders",25,0,3,2,8,4,7,1,-1
"Inspectors, testers, sorters, samplers, and weighers",807,9,67,200,154,183,160,33,43.2
Jewelers and precious stone and metal workers,38,0,2,8,9,5,8,5,-1
"Medical, dental, and ophthalmic laboratory technicians",87,0,10,16,17,20,18,5,45.4
Packaging and filling machine operators and tenders,277,10,39,59,74,46,42,6,39.3
Painting workers,165,5,20,44,35,33,25,4,38.8
Photographic process workers and processing machine operators,17,0,2,5,1,6,2,1,-1
Semiconductor processors,1,0,0,1,0,0,0,0,-1
Adhesive bonding machine operators and tenders,8,0,0,2,2,1,3,0,-1
"Cleaning, washing, and metal pickling equipment operators and tenders",9,0,3,2,0,0,2,1,-1
Cooling and freezing equipment operators and tenders,4,0,0,0,0,3,0,0,-1
Etchers and engravers,11,0,1,1,1,1,5,2,-1
"Molders, shapers, and casters, except metal and plastic",37,0,3,6,13,6,7,3,-1
"Paper goods machine setters, operators, and tenders",21,0,2,3,5,5,5,1,-1
Tire builders,7,0,0,2,4,0,1,0,-1
Helpers--production workers,53,8,9,15,5,9,6,2,31.1
"Production workers, all other","1,107",26,127,273,213,252,184,32,41.1
Transportation and material moving occupations,"9,918",362,990,"2,055","1,866","2,145","1,835",665,43.1
Supervisors of transportation and material moving workers,217,0,13,49,44,64,39,7,44.9
Aircraft pilots and flight engineers,119,0,3,21,30,26,36,3,47.0
Air traffic controllers and airfield operations specialists,37,0,1,17,9,4,6,0,-1
Flight attendants,104,0,4,16,19,31,25,10,50.3
"Ambulance drivers and attendants, except emergency medical technicians",12,0,0,7,1,3,0,0,-1
Bus drivers,599,1,9,65,89,161,175,99,53.2
Driver/sales workers and truck drivers,"3,549",64,236,636,701,871,764,277,46.3
Taxi drivers and chauffeurs,777,6,38,168,151,175,148,91,46.5
"Motor vehicle operators, all other",63,1,3,9,7,7,16,19,55.9
Locomotive engineers and operators,36,0,0,9,10,10,7,1,-1
"Railroad brake, signal, and switch operators",5,0,1,0,2,1,1,0,-1
Railroad conductors and yardmasters,53,0,3,17,17,12,3,1,38.5
"Subway, streetcar, and other rail transportation workers",15,0,0,2,4,5,2,1,-1
Sailors and marine oilers,21,2,4,6,3,1,5,0,-1
Ship and boat captains and operators,33,0,1,8,9,7,7,1,-1
Ship engineers,6,0,1,3,0,2,1,0,-1
Bridge and lock tenders,7,0,0,3,1,1,2,0,-1
Parking lot attendants,87,4,32,14,12,10,10,5,29.9
Automotive and watercraft service attendants,102,10,23,22,11,16,15,4,32.3
Transportation inspectors,37,1,1,9,6,11,7,1,-1
"Transportation attendants, except flight attendants",40,2,4,5,6,8,11,4,-1
Other transportation workers,24,0,3,6,5,6,4,0,-1
Conveyor operators and tenders,2,0,0,1,0,0,0,0,-1
Crane and tower operators,68,0,3,18,15,14,14,2,42.0
"Dredge, excavating, and loading machine operators",24,0,2,4,6,7,4,2,-1
Hoist and winch operators,10,2,0,1,5,0,3,0,-1
Industrial truck and tractor operators,631,7,71,176,127,137,101,13,39.8
Cleaners of vehicles and equipment,329,41,54,78,59,47,38,12,33.7
"Laborers and freight, stock, and material movers, hand","2,106",158,366,510,373,355,272,73,35.4
Machine feeders and offbearers,30,1,5,6,5,5,7,0,-1
"Packers and packagers, hand",607,57,92,131,103,113,85,25,37.4
Pumping station operators,16,0,0,5,4,2,3,1,-1
Refuse and recyclable material collectors,91,5,6,20,20,19,15,7,43.5
Mine shuttle car operators,1,0,0,1,0,0,0,0,-1
"Tank car, truck, and ship loaders",8,0,2,5,0,1,0,0,-1
"Material moving workers, all other",51,0,8,7,11,12,10,3,43.1
