,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
"Maintenance and repair workers, general",442,7,18,76,110,121,90,19,45.9
"Maintenance workers, machinery",28,1,6,8,5,4,5,1,–
Millwrights,53,1,1,14,11,14,12,0,45.8
Electrical power-line installers and repairers,110,0,17,31,25,24,12,0,37.6
Telecommunications line installers and repairers,177,1,10,50,58,36,19,2,40.0
Precision instrument and equipment repairers,60,0,1,10,13,16,13,6,50.3
Wind turbine service technicians,3,0,1,1,0,1,0,0,–
"Coin, vending, and amusement machine servicers and repairers",33,0,3,6,8,7,6,1,–
Commercial divers,3,0,0,1,1,0,1,0,–
Locksmiths and safe repairers,31,0,1,3,7,12,6,3,–
Manufactured building and mobile home installers,5,0,1,0,2,1,1,0,–
Riggers,13,0,2,1,3,4,2,0,–
Signal and track switch repairers,5,0,0,1,3,0,1,0,–
"Helpers--installation, maintenance, and repair workers",30,4,5,8,7,4,2,0,–
"Other installation, maintenance, and repair workers",205,7,18,37,51,54,25,15,42.2
,,,,,,,,,
"Production, transportation, and material moving occupations","16,994",447,"1,576","3,360","3,603","4,296","2,904",809,43.3
Production occupations,"8,455",147,748,"1,697","1,885","2,178","1,481",319,43.5
First-line supervisors of production and operating workers,808,1,24,115,194,265,174,34,48.0
"Aircraft structure, surfaces, rigging, and systems assemblers",23,1,3,5,5,3,6,0,–
"Electrical, electronics, and electromechanical assemblers",166,2,17,25,42,42,34,5,43.7
Engine and other machine assemblers,32,0,1,5,7,11,8,0,–
Structural metal fabricators and fitters,25,0,2,4,8,7,3,1,–
Miscellaneous assemblers and fabricators,919,25,96,189,202,225,145,37,42.1
Bakers,199,7,36,41,31,40,34,10,39.7
"Butchers and other meat, poultry, and fish processing workers",311,9,40,69,82,62,32,17,39.2
"Food and tobacco roasting, baking, and drying machine operators and tenders",11,0,2,2,3,1,1,1,–
Food batchmakers,84,5,11,19,21,13,12,4,38.9
Food cooking machine operators and tenders,14,1,2,2,2,3,2,2,–
"Food processing workers, all other",117,1,23,27,24,26,13,3,38.1
Computer control programmers and operators,67,1,3,14,15,20,13,2,44.0
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",10,0,1,3,0,4,2,0,–
"Forging machine setters, operators, and tenders, metal and plastic",10,0,1,0,3,4,2,0,–
"Rolling machine setters, operators, and tenders, metal and plastic",8,0,0,2,1,4,0,0,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",87,3,13,14,18,23,15,1,42.0
"Drilling and boring machine tool setters, operators, and tenders, metal 	and plastic",3,0,0,0,1,1,0,0,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",54,4,7,15,8,8,10,2,36.4
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",17,0,2,1,4,7,2,2,–
"Milling and planing machine setters, operators, and tenders, metal and plastic",3,0,0,1,1,0,0,0,–
Machinists,397,3,28,75,90,104,80,16,45.0
"Metal furnace operators, tenders, pourers, and casters",17,0,1,2,3,6,4,0,–
"Model makers and patternmakers, metal and plastic",11,0,1,0,0,4,5,1,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",37,1,4,8,7,7,7,1,–
"Multiple machine tool setters, operators, and tenders, metal and plastic",5,0,0,1,1,1,2,0,–
Tool and die makers,56,0,0,6,8,15,22,5,53.5
"Welding, soldering, and brazing workers",593,6,60,175,143,123,74,12,39.7
"Heat treating equipment setters, operators, and tenders, metal and plastic",4,0,1,0,0,2,1,0,–
"Layout workers, metal and plastic",4,0,0,1,0,0,2,0,–
"Plating and coating machine setters, operators, and tenders, metal and plastic",18,0,2,3,5,5,1,0,–
"Tool grinders, filers, and sharpeners",3,0,0,0,0,0,2,0,–
"Metal workers and plastic workers, all other",375,3,33,84,91,93,64,7,43.0
Prepress technicians and workers,33,0,2,6,9,7,5,4,–
Printing press operators,201,3,13,33,43,66,36,7,45.9
Print binding and finishing workers,22,0,1,1,2,7,8,3,–
Laundry and dry-cleaning workers,185,8,13,36,41,41,36,10,44.9
"Pressers, textile, garment, and related materials",54,0,0,16,12,13,7,5,42.3
Sewing machine operators,166,1,8,28,31,44,39,15,48.3
Shoe and leather workers and repairers,11,0,0,1,2,5,2,1,–
Shoe machine operators and tenders,11,0,2,0,3,5,0,1,–
"Tailors, dressmakers, and sewers",86,1,1,6,16,29,18,15,53.9
Textile bleaching and dyeing machine operators and tenders,5,0,0,2,2,1,1,0,–
"Textile cutting machine setters, operators, and tenders",12,0,0,1,5,3,3,0,–
"Textile knitting and weaving machine setters, operators, and tenders",7,0,0,1,1,5,0,0,–
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",14,0,0,1,5,4,2,1,–
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",1,0,1,0,0,0,0,0,–
Fabric and apparel patternmakers,3,0,1,0,1,0,1,0,–
Upholsterers,34,1,1,4,8,10,9,2,–
"Textile, apparel, and furnishings workers, all other",14,0,0,6,2,3,4,0,–
Cabinetmakers and bench carpenters,45,1,2,8,7,14,13,0,–
Furniture finishers,7,0,1,1,3,2,1,1,–
"Model makers and patternmakers, wood",0,0,0,0,0,0,0,0,–
"Sawing machine setters, operators, and tenders, wood",30,0,2,4,5,10,8,1,–
"Woodworking machine setters, operators, and tenders, except sawing",21,1,2,4,6,5,3,1,–
"Woodworkers, all other",21,2,2,5,1,4,5,2,–
"Power plant operators, distributors, and dispatchers",44,0,2,7,12,12,10,1,–
Stationary engineers and boiler operators,121,0,5,20,22,35,33,5,49.3
Water and wastewater treatment plant and system operators,72,0,0,14,13,31,11,2,46.9
Miscellaneous plant and system operators,39,0,3,7,11,9,10,1,–
"Chemical processing machine setters, operators, and tenders",68,0,8,15,14,17,13,0,43.1
"Crushing, grinding, polishing, mixing, and blending workers",100,1,8,29,19,22,17,4,42.5
Cutting workers,67,2,7,13,15,19,10,0,40.9
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",45,1,1,10,12,15,6,0,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",16,0,3,4,3,6,1,0,–
"Inspectors, testers, sorters, samplers, and weighers",689,6,51,124,157,188,138,25,45.4
Jewelers and precious stone and metal workers,46,0,1,9,4,14,9,8,–
"Medical, dental, and ophthalmic laboratory technicians",95,2,15,15,24,17,18,5,41.6
Packaging and filling machine operators and tenders,261,7,22,55,57,75,40,5,42.1
Painting workers,150,3,20,41,33,37,12,4,38.0
Photographic process workers and processing machine operators,55,1,10,20,10,8,6,0,30.9
Semiconductor processors,4,0,0,0,1,1,1,0,–
Adhesive bonding machine operators and tenders,9,0,3,2,3,1,1,0,–
"Cleaning, washing, and metal pickling equipment operators and tenders",7,0,0,2,3,1,2,0,–
Cooling and freezing equipment operators and tenders,2,0,0,0,0,1,1,0,–
Etchers and engravers,6,0,0,2,1,3,1,0,–
"Molders, shapers, and casters, except metal and plastic",41,0,4,8,8,10,8,4,–
"Paper goods machine setters, operators, and tenders",35,1,2,7,10,10,5,0,–
Tire builders,19,1,3,6,3,3,2,1,–
Helpers--production workers,59,6,11,11,13,11,4,3,35.4
"Production workers, all other",933,24,99,206,213,226,148,16,41.3
Transportation and material moving occupations,"8,540",299,828,"1,663","1,718","2,118","1,424",490,43.1
Supervisors of transportation and material moving workers,200,0,16,51,41,54,35,3,42.8
Aircraft pilots and flight engineers,129,0,3,22,27,41,30,6,47.8
Air traffic controllers and airfield operations specialists,44,0,0,14,10,11,7,2,–
Flight attendants,88,0,1,12,18,30,20,6,49.1
"Ambulance drivers and attendants, except emergency medical technicians",20,0,1,6,4,4,3,1,–
Bus drivers,558,1,7,45,83,167,167,87,53.5
Driver/sales workers and truck drivers,"3,201",37,171,569,714,911,602,196,45.7
Taxi drivers and chauffeurs,336,2,15,42,63,93,80,40,50.4
"Motor vehicle operators, all other",63,0,1,6,10,10,10,25,59.2
Locomotive engineers and operators,41,0,0,6,12,13,9,1,–
"Railroad brake, signal, and switch operators",10,0,2,1,2,3,2,0,–
Railroad conductors and yardmasters,52,1,6,15,13,9,8,0,38.9
"Subway, streetcar, and other rail transportation workers",11,0,2,3,2,2,2,0,–
Sailors and marine oilers,16,2,1,7,2,2,2,1,–
Ship and boat captains and operators,37,0,2,6,8,10,8,3,–
Ship engineers,7,0,0,1,3,1,1,0,–
Bridge and lock tenders,7,0,0,0,2,2,3,0,–
Parking lot attendants,81,6,28,8,10,14,10,5,32.2
Automotive and watercraft service attendants,94,14,23,23,10,13,10,1,29.4
Transportation inspectors,36,0,2,8,6,8,11,2,–
"Transportation attendants, except flight attendants",38,2,4,7,4,7,11,4,–
Other transportation workers,17,1,5,1,3,4,3,0,–
Conveyor operators and tenders,4,0,0,1,0,3,0,0,–
Crane and tower operators,62,1,5,11,14,18,11,3,46.2
"Dredge, excavating, and loading machine operators",42,0,4,6,7,14,8,4,–
Hoist and winch operators,5,0,1,0,1,2,0,0,–
Industrial truck and tractor operators,537,6,50,162,122,132,59,6,39.7
Cleaners of vehicles and equipment,315,33,64,73,61,50,25,9,33.9
"Laborers and freight, stock, and material movers, hand","1,849",146,356,408,324,348,211,58,35.8
Machine feeders and offbearers,27,1,3,5,4,6,6,1,–
"Packers and packagers, hand",431,43,46,100,93,88,45,16,38.0
Pumping station operators,25,0,0,9,4,7,4,2,–
Refuse and recyclable material collectors,106,3,9,23,27,30,11,4,41.9
Mine shuttle car operators,1,0,0,0,1,0,0,0,–
"Tank car, truck, and ship loaders",4,0,1,1,1,1,0,0,–
"Material moving workers, all other",45,1,1,9,12,9,10,4,–
